"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"833","Gilroy","Gilroy","CA","USA","Gilroy, Gilroy, CA","Gilroy, Gilroy, CA",-121.5566373,37.0029828
"834","Glen A. Wilson","Hacienda Heights","CA","USA","Glen A. Wilson, Hacienda Heights, CA","Glen A. Wilson, Hacienda Heights, CA",-117.9465717,33.9993978
"835","Glendale Senior","Glendale","CA","USA","Glendale Senior, Glendale, CA","Glendale Senior, Glendale, CA",-118.253329,34.159142
"836","Glendora","Glendora","CA","USA","Glendora, Glendora, CA","Glendora, Glendora, CA",-117.865339,34.1361187
"837","Golden Valley","Bakersfield","CA","USA","Golden Valley, Bakersfield, CA","Golden Valley, Bakersfield, CA",-119.1247375,35.3020102
"838","Golden West","Visalia","CA","USA","Golden West, Visalia, CA","Golden West, Visalia, CA",-119.2521246,36.3431198
"839","Grace Brethren","Simi Valley","CA","USA","Grace Brethren, Simi Valley, CA","Grace Brethren, Simi Valley, CA",-118.7507601,34.2638166
"840","Granada","Livermore","CA","USA","Granada, Livermore, CA","Granada, Livermore, CA",-121.7645801,37.6850489
"841","Granite Bay","Granite Bay","CA","USA","Granite Bay, Granite Bay, CA","Granite Bay, Granite Bay, CA",-121.1638361,38.7632345
"842","Granite Hills","Apple Valley","CA","USA","Granite Hills, Apple Valley, CA","Granite Hills, Apple Valley, CA",-117.1664555,34.5090161
"843","Granite Hills","El Cajon","CA","USA","Granite Hills, El Cajon, CA","Granite Hills, El Cajon, CA",-116.9057569,32.8080133
"844","Granite Hills","Porterville","CA","USA","Granite Hills, Porterville, CA","Granite Hills, Porterville, CA",-118.9780008,36.0689641
"845","Grant Union","Sacramento","CA","USA","Grant Union, Sacramento, CA","Grant Union, Sacramento, CA",-121.4350538,38.6361628
"846","Great Oak","Temecula","CA","USA","Great Oak, Temecula, CA","Great Oak, Temecula, CA",-117.1067437,33.4560541
"847","Greenfield","Greenfield","CA","USA","Greenfield, Greenfield, CA","Greenfield, Greenfield, CA",-121.2438138,36.3207998
"848","Gridley","Gridley","CA","USA","Gridley, Gridley, CA","Gridley, Gridley, CA",-121.6935833,39.3637773
"849","Grossmont","Lemon Grove","CA","USA","Grossmont, Lemon Grove, CA","Grossmont, Lemon Grove, CA",-117.0314172,32.7425516
"850","Grover Cleveland","Reseda","CA","USA","Grover Cleveland, Reseda, CA","Grover Cleveland, Reseda, CA",-118.5486914,34.2189701
"851","Hamilton","Anza","CA","USA","Hamilton, Anza, CA","Hamilton, Anza, CA",-116.6567001,33.571056
"852","Hamilton","Los Angeles","CA","USA","Hamilton, Los Angeles, CA","Hamilton, Los Angeles, CA",-118.391615,34.034135
"853","Hanford","Hanford","CA","USA","Hanford, Hanford, CA","Hanford, Hanford, CA",-119.6456844,36.3274502
"854","Harbor Teacher Preparation Academy","Wilmington","CA","USA","Harbor Teacher Preparation Academy, Wilmington, CA","Harbor Teacher Preparation Academy, Wilmington, CA",-118.2838431,33.7831978
"855","Hart","Newhall","CA","USA","Hart, Newhall, CA","Hart, Newhall, CA",-118.5257901,34.3753971
"856","Hart","Santa Clarita","CA","USA","Hart, Santa Clarita, CA","Hart, Santa Clarita, CA",-118.5331038,34.4853987
"857","Harvard Westlake","Studio City","CA","USA","Harvard Westlake, Studio City, CA","Harvard Westlake, Studio City, CA",-118.4126293,34.1396339
"858","Hawkins","Los Angeles","CA","USA","Hawkins, Los Angeles, CA","Hawkins, Los Angeles, CA",-118.2522853,33.9292515
"859","Hawthorne","Hawthorne","CA","USA","Hawthorne, Hawthorne, CA","Hawthorne, Hawthorne, CA",-118.3525748,33.9164032
"860","Hayward","Hayward","CA","USA","Hayward, Hayward, CA","Hayward, Hayward, CA",-122.0809964,37.6687665
"861","Helix","La Mesa","CA","USA","Helix, La Mesa, CA","Helix, La Mesa, CA",-116.976935,32.7723561
"862","Helix","San Diego","CA","USA","Helix, San Diego, CA","Helix, San Diego, CA",-117.2158755,32.8861294
"863","Hemet","Hemet","CA","USA","Hemet, Hemet, CA","Hemet, Hemet, CA",-116.9719684,33.7475203
"864","Henry","San Diego","CA","USA","Henry, San Diego, CA","Henry, San Diego, CA",-117.1845106,32.7473371
"865","Henry M. Gunn","Palo Alto","CA","USA","Henry M. Gunn, Palo Alto, CA","Henry M. Gunn, Palo Alto, CA",-122.1334165,37.40252
"866","Herbert Hoover","Fresno","CA","USA","Herbert Hoover, Fresno, CA","Herbert Hoover, Fresno, CA",-119.7715858,36.8173606
"867","Hercules","Hercules","CA","USA","Hercules, Hercules, CA","Hercules, Hercules, CA",-122.2885808,38.0171441
"868","Heritage","Brentwood","CA","USA","Heritage, Brentwood, CA","Heritage, Brentwood, CA",-121.7551606,37.921756
"869","Heritage","Menifee","CA","USA","Heritage, Menifee, CA","Heritage, Menifee, CA",-117.1488959,33.7203115
"870","Hesperia","Hesperia","CA","USA","Hesperia, Hesperia, CA","Hesperia, Hesperia, CA",-117.3008784,34.4263886
"871","Highland","Bakersfield","CA","USA","Highland, Bakersfield, CA","Highland, Bakersfield, CA",-118.9438103,35.3977871
"872","Highland","Palmdale","CA","USA","Highland, Palmdale, CA","Highland, Palmdale, CA",-118.1755487,34.5922192
"873","Hillcrest Christian School","Thousand Oaks","CA","USA","Hillcrest Christian School, Thousand Oaks, CA","Hillcrest Christian School, Thousand Oaks, CA",-118.8725312,34.1814474
"874","Hilltop Senior","Chula Vista","CA","USA","Hilltop Senior, Chula Vista, CA","Hilltop Senior, Chula Vista, CA",-117.052999,32.604695
"875","Hilmar","Hilmar","CA","USA","Hilmar, Hilmar, CA","Hilmar, Hilmar, CA",-120.8504738,37.4040942
"876","Hiram W. Johnson","Sacramento","CA","USA","Hiram W. Johnson, Sacramento, CA","Hiram W. Johnson, Sacramento, CA",-121.424904,38.5409007
"877","Holtville","Holtville","CA","USA","Holtville, Holtville, CA","Holtville, Holtville, CA",-115.3802643,32.8111612
"878","Homestead","Cupertino","CA","USA","Homestead, Cupertino, CA","Homestead, Cupertino, CA",-122.0322086,37.3376468
"879","Hoover","San Diego","CA","USA","Hoover, San Diego, CA","Hoover, San Diego, CA",-117.0979213,32.7554975
"880","Hope Chapel Academy","Hermosa Beach","CA","USA","Hope Chapel Academy, Hermosa Beach, CA","Hope Chapel Academy, Hermosa Beach, CA",-118.3946535,33.8716176
"881","Horizon","San Diego","CA","USA","Horizon, San Diego, CA","Horizon, San Diego, CA",-117.1592412,32.8275096
"882","Hueneme","Oxnard","CA","USA","Hueneme, Oxnard, CA","Hueneme, Oxnard, CA",-119.1951074,34.1477829
"883","Huntington Beach","Huntington Beach","CA","USA","Huntington Beach, Huntington Beach, CA","Huntington Beach, Huntington Beach, CA",-118.0033719,33.6559807
"884","IMG Academy","Rancho Cucamonga","CA","USA","IMG Academy, Rancho Cucamonga, CA","IMG Academy, Rancho Cucamonga, CA",-82.6086662,27.4408534
"885","Imperial","Imperial","CA","USA","Imperial, Imperial, CA","Imperial, Imperial, CA",-115.5694391,32.8475528
"886","Independence","San Jose","CA","USA","Independence, San Jose, CA","Independence, San Jose, CA",-121.8375791,37.2956254
"887","Inderkum","Sacramento","CA","USA","Inderkum, Sacramento, CA","Inderkum, Sacramento, CA",-121.517287,38.658358
"888","Indio","Indio","CA","USA","Indio, Indio, CA","Indio, Indio, CA",-116.2155619,33.7205771
"889","Inglewood","Inglewood","CA","USA","Inglewood, Inglewood, CA","Inglewood, Inglewood, CA",-118.3531311,33.9616801
"890","Irvine","Irvine","CA","USA","Irvine, Irvine, CA","Irvine, Irvine, CA",-117.8265049,33.6845673
"891","Irvington","Fremont","CA","USA","Irvington, Fremont, CA","Irvington, Fremont, CA",-121.9615308,37.531466
"892","J Serra Catholic","San Juan Capistrano","CA","USA","J Serra Catholic, San Juan Capistrano, CA","J Serra Catholic, San Juan Capistrano, CA",-117.6679153,33.5208286
"893","James Logan","Union City","CA","USA","James Logan, Union City, CA","James Logan, Union City, CA",-122.0268595,37.5899329
"894","James Monroe","North Hills","CA","USA","James Monroe, North Hills, CA","James Monroe, North Hills, CA",-118.4769293,34.2383746
"895","Jefferson","Daly City","CA","USA","Jefferson, Daly City, CA","Jefferson, Daly City, CA",-122.4659472,37.6952261
"896","Jesse M. Bethel","Vallejo","CA","USA","Jesse M. Bethel, Vallejo, CA","Jesse M. Bethel, Vallejo, CA",-122.2051396,38.1205562
"897","Jesuit","Carmichael","CA","USA","Jesuit, Carmichael, CA","Jesuit, Carmichael, CA",-121.3521613,38.5859952
"898","John C. Fremont Senior","Los Angeles","CA","USA","John C. Fremont Senior, Los Angeles, CA","John C. Fremont Senior, Los Angeles, CA",-118.2691485,33.9698447
"899","John F. Kennedy","Granada Hills","CA","USA","John F. Kennedy, Granada Hills, CA","John F. Kennedy, Granada Hills, CA",-118.4875824,34.2757507
"900","John F. Kennedy","La Palma","CA","USA","John F. Kennedy, La Palma, CA","John F. Kennedy, La Palma, CA",-118.0386253,33.8414412
"901","John F. Kennedy","Richmond","CA","USA","John F. Kennedy, Richmond, CA","John F. Kennedy, Richmond, CA",-122.3285994,37.9247715
"902","John F. Kennedy","Sacramento","CA","USA","John F. Kennedy, Sacramento, CA","John F. Kennedy, Sacramento, CA",-121.5345057,38.503188
"903","John H. Pitman","Turlock","CA","USA","John H. Pitman, Turlock, CA","John H. Pitman, Turlock, CA",-120.8772868,37.5310005
"904","John Muir","Pasadena","CA","USA","John Muir, Pasadena, CA","John Muir, Pasadena, CA",-118.1607337,34.1781121
"905","John W. North","Riverside","CA","USA","John W. North, Riverside, CA","John W. North, Riverside, CA",-117.3454778,33.9826268
"906","Jordan","Long Beach","CA","USA","Jordan, Long Beach, CA","Jordan, Long Beach, CA",-118.1810169,33.8693963
"907","Jordan New Technology","Los Angeles","CA","USA","Jordan New Technology, Los Angeles, CA","Jordan New Technology, Los Angeles, CA",-118.2298545,33.944673
"908","Juan Rodriguez Cabrillo","Long Beach","CA","USA","Juan Rodriguez Cabrillo, Long Beach, CA","Juan Rodriguez Cabrillo, Long Beach, CA",-118.2158198,33.7940838
"909","Junipero Serra","Gardena","CA","USA","Junipero Serra, Gardena, CA","Junipero Serra, Gardena, CA",-118.3166277,33.8964745
"910","Junipero Serra",NA,"CA","USA","Junipero Serra, NA, CA","Junipero Serra, CA",-122.4694048,37.660826
"911","Junipero Serra","Pacifica","CA","USA","Junipero Serra, Pacifica, CA","Junipero Serra, Pacifica, CA",-122.4228259,37.6103358
"912","Junipero Serra","San Mateo","CA","USA","Junipero Serra, San Mateo, CA","Junipero Serra, San Mateo, CA",-122.3172819,37.5460058
"913","Jurupa Hills","Fontana","CA","USA","Jurupa Hills, Fontana, CA","Jurupa Hills, Fontana, CA",-117.4496536,34.0597452
"914","Justin-Siena","Napa","CA","USA","Justin-Siena, Napa, CA","Justin-Siena, Napa, CA",-122.3218236,38.3308505
"915","Kaiser","Fontana","CA","USA","Kaiser, Fontana, CA","Kaiser, Fontana, CA",-117.4323129,34.0723526
"916","Kearny","San Diego","CA","USA","Kearny, San Diego, CA","Kearny, San Diego, CA",-117.1441227,32.8283909
"917","Kerman","Kerman","CA","USA","Kerman, Kerman, CA","Kerman, Kerman, CA",-120.059879,36.7235572
"918","Keyes To Learning Charter","La Grange","CA","USA","Keyes To Learning Charter, La Grange, CA","Keyes To Learning Charter, La Grange, CA",-120.9078745,37.5532775
"919","Kimball","Tracy","CA","USA","Kimball, Tracy, CA","Kimball, Tracy, CA",-121.4747411,37.7329015
"920","Kingsburg","Kingsburg","CA","USA","Kingsburg, Kingsburg, CA","Kingsburg, Kingsburg, CA",-119.5540175,36.5138398
"921","La Canada","La Canada Flintridge","CA","USA","La Canada, La Canada Flintridge, CA","La Canada, La Canada Flintridge, CA",-118.2000277,34.2068182
"922","La Costa Canyon","Encinitas","CA","USA","La Costa Canyon, Encinitas, CA","La Costa Canyon, Encinitas, CA",-117.2302435,33.0733658
"923","La Habra","La Habra","CA","USA","La Habra, La Habra, CA","La Habra, La Habra, CA",-117.946137,33.9318591
"924","La Jolla","La Jolla","CA","USA","La Jolla, La Jolla, CA","La Jolla, La Jolla, CA",-117.2712717,32.8328112
"925","La Jolla Country Day","La Jolla","CA","USA","La Jolla Country Day, La Jolla, CA","La Jolla Country Day, La Jolla, CA",-117.216727,32.878598
"926","La Mesa Christian School","La Mesa","CA","USA","La Mesa Christian School, La Mesa, CA","La Mesa Christian School, La Mesa, CA",-117.0391813,32.737609
"927","La Mirada","La Mirada","CA","USA","La Mirada, La Mirada, CA","La Mirada, La Mirada, CA",-118.0120086,33.9172357
"928","La Quinta","La Quinta","CA","USA","La Quinta, La Quinta, CA","La Quinta, La Quinta, CA",-116.3100095,33.6633573
"929","La Salle","Pasadena","CA","USA","La Salle, Pasadena, CA","La Salle, Pasadena, CA",-118.0692575,34.1610099
"930","La Sierra","Riverside","CA","USA","La Sierra, Riverside, CA","La Sierra, Riverside, CA",-117.4830743,33.911836
"931","Laguna Beach","Laguna Beach","CA","USA","Laguna Beach, Laguna Beach, CA","Laguna Beach, Laguna Beach, CA",-117.7853568,33.5427189
"932","Laguna Creek","Elk Grove","CA","USA","Laguna Creek, Elk Grove, CA","Laguna Creek, Elk Grove, CA",-121.422661,38.421129
"933","Laguna Hills","Laguna Hills","CA","USA","Laguna Hills, Laguna Hills, CA","Laguna Hills, Laguna Hills, CA",-117.6986604,33.5916433
"934","Lakeside","Lake Elsinore","CA","USA","Lakeside, Lake Elsinore, CA","Lakeside, Lake Elsinore, CA",-117.3825525,33.6688172
"935","Lakewood","Lakewood","CA","USA","Lakewood, Lakewood, CA","Lakewood, Lakewood, CA",-118.1339563,33.8536269
"936","Las Lomas","Walnut Creek","CA","USA","Las Lomas, Walnut Creek, CA","Las Lomas, Walnut Creek, CA",-122.0560453,37.8908607
"937","Lassen","Mt Meadows Area","CA","USA","Lassen, Mt Meadows Area, CA","Lassen, Mt Meadows Area, CA",-120.9589496,40.267671
"938","Lawndale","Harbor City","CA","USA","Lawndale, Harbor City, CA","Lawndale, Harbor City, CA",-118.35406,33.8979827
"939","Lawndale","Lawndale","CA","USA","Lawndale, Lawndale, CA","Lawndale, Lawndale, CA",-118.3525744,33.887237
"940","Leigh","San Jose","CA","USA","Leigh, San Jose, CA","Leigh, San Jose, CA",-121.9231332,37.2438492
"941","Leland","San Jose","CA","USA","Leland, San Jose, CA","Leland, San Jose, CA",-121.8443991,37.2172487
"942","Lemoore","Lemoore","CA","USA","Lemoore, Lemoore, CA","Lemoore, Lemoore, CA",-119.7829107,36.3007835
"943","Leuzinger","Lawndale","CA","USA","Leuzinger, Lawndale, CA","Leuzinger, Lawndale, CA",-118.3469179,33.9015788
"944","Liberty","Bakersfield","CA","USA","Liberty, Bakersfield, CA","Liberty, Bakersfield, CA",-119.1287964,35.3662302
"945","Liberty","Brentwood","CA","USA","Liberty, Brentwood, CA","Liberty, Brentwood, CA",-121.6972089,37.93577
"946","Liberty Ranch","Galt","CA","USA","Liberty Ranch, Galt, CA","Liberty Ranch, Galt, CA",-121.2806056,38.286203
"947","Lincoln","Lincoln","CA","USA","Lincoln, Lincoln, CA","Lincoln, Lincoln, CA",-121.2930079,38.891565
"948","Lincoln","San Diego","CA","USA","Lincoln, San Diego, CA","Lincoln, San Diego, CA",-117.0895446,32.703423
"949","Lincoln","Stockton","CA","USA","Lincoln, Stockton, CA","Lincoln, Stockton, CA",-121.3379457,38.010634
"950","Linden","Linden","CA","USA","Linden, Linden, CA","Linden, Linden, CA",-121.0838313,38.0213118
"951","Lindsay Senior","Lindsay","CA","USA","Lindsay Senior, Lindsay, CA","Lindsay Senior, Lindsay, CA",-119.0922175,36.2144963
"952","Linfield Christian School","Temecula","CA","USA","Linfield Christian School, Temecula, CA","Linfield Christian School, Temecula, CA",-117.1102117,33.5015629
"953","Livermore","Livermore","CA","USA","Livermore, Livermore, CA","Livermore, Livermore, CA",-121.7684732,37.6818688
"954","Lodi","Lodi","CA","USA","Lodi, Lodi, CA","Lodi, Lodi, CA",-121.2722194,38.1341477
"955","Lompoc","Lompoc","CA","USA","Lompoc, Lompoc, CA","Lompoc, Lompoc, CA",-120.4579409,34.6391501
"956","Long Beach Poly","Anaheim","CA","USA","Long Beach Poly, Anaheim, CA","Long Beach Poly, Anaheim, CA",-118.1829363,33.7868045
"957","Long Beach Poly","Diamond Bar","CA","USA","Long Beach Poly, Diamond Bar, CA","Long Beach Poly, Diamond Bar, CA",-118.1829363,33.7868045
"958","Long Beach Poly","Lakewood","CA","USA","Long Beach Poly, Lakewood, CA","Long Beach Poly, Lakewood, CA",-118.1829363,33.7868045
"959","Long Beach Poly","Long Beach","CA","USA","Long Beach Poly, Long Beach, CA","Long Beach Poly, Long Beach, CA",-118.1829363,33.7868045
"960","Long Beach Poly","Mission Hills","CA","USA","Long Beach Poly, Mission Hills, CA","Long Beach Poly, Mission Hills, CA",-118.1829363,33.7868045
"961","Lorne Park","Ontario","CA","USA","Lorne Park, Ontario, CA","Lorne Park, Ontario, CA",-79.617851,43.540199
"962","Los Alamitos","Los Alamitos","CA","USA","Los Alamitos, Los Alamitos, CA","Los Alamitos, Los Alamitos, CA",-118.0718894,33.8032009
"963","Los Altos","Hacienda Heights","CA","USA","Los Altos, Hacienda Heights, CA","Los Altos, Hacienda Heights, CA",-117.978006,33.9881621
"964","Los Amigos","Fountain Valley","CA","USA","Los Amigos, Fountain Valley, CA","Los Amigos, Fountain Valley, CA",-117.9262961,33.7220641
"965","Los Angeles Senior","Los Angeles","CA","USA","Los Angeles Senior, Los Angeles, CA","Los Angeles Senior, Los Angeles, CA",-118.3127428,34.1030948
"966","Los Angeles Senior","Santa Ana","CA","USA","Los Angeles Senior, Santa Ana, CA","Los Angeles Senior, Santa Ana, CA",-117.8720293,33.7468196
"967","Los Banos","Los Banos","CA","USA","Los Banos, Los Banos, CA","Los Banos, Los Banos, CA",-120.8499151,37.0582786
"968","Los Gatos","Los Gatos","CA","USA","Los Gatos, Los Gatos, CA","Los Gatos, Los Gatos, CA",-121.9623751,37.2358078
"969","Los Osos","Rancho Cucamonga","CA","USA","Los Osos, Rancho Cucamonga, CA","Los Osos, Rancho Cucamonga, CA",-117.5561885,34.145236
"970","Loyola","Los Angeles","CA","USA","Loyola, Los Angeles, CA","Loyola, Los Angeles, CA",-118.2710985,34.048889
"971","Luther Burbank","Sacramento","CA","USA","Luther Burbank, Sacramento, CA","Luther Burbank, Sacramento, CA",-121.4664531,38.4946958
"972","Lynwood","Lynwood","CA","USA","Lynwood, Lynwood, CA","Lynwood, Lynwood, CA",-118.2114603,33.930293
"973","Madison","San Diego","CA","USA","Madison, San Diego, CA","Madison, San Diego, CA",-117.1464565,32.7614508
"974","Magnolia","Anaheim","CA","USA","Magnolia, Anaheim, CA","Magnolia, Anaheim, CA",-117.9757338,33.8099187
"975","Malibu","Malibu","CA","USA","Malibu, Malibu, CA","Malibu, Malibu, CA",-118.7797571,34.0259216
"976","Manteca","Manteca","CA","USA","Manteca, Manteca, CA","Manteca, Manteca, CA",-121.2160526,37.7974273
"977","Manual Arts Senior","Los Angeles","CA","USA","Manual Arts Senior, Los Angeles, CA","Manual Arts Senior, Los Angeles, CA",-118.2921733,34.0082618
"978","Mar Vista Senior","Imperial Beach","CA","USA","Mar Vista Senior, Imperial Beach, CA","Mar Vista Senior, Imperial Beach, CA",-117.1218334,32.5792259
"979","Maranatha","Pasadena","CA","USA","Maranatha, Pasadena, CA","Maranatha, Pasadena, CA",-118.1569675,34.1427333
"980","Maria Carrillo","Santa Rosa","CA","USA","Maria Carrillo, Santa Rosa, CA","Maria Carrillo, Santa Rosa, CA",-122.6595416,38.4800781
"981","Marin  Catholic","Greenbrae","CA","USA","Marin  Catholic, Greenbrae, CA","Marin  Catholic, Greenbrae, CA",-122.5365569,37.9512058
"982","Marina","Marina","CA","USA","Marina, Marina, CA","Marina, Marina, CA",-121.8007632,36.6872838
"983","Mariposa County","Mariposa","CA","USA","Mariposa County, Mariposa, CA","Mariposa County, Mariposa, CA",-119.9662843,37.4849377
"984","Martin Luther King Jr.","Riverside","CA","USA","Martin Luther King Jr., Riverside, CA","Martin Luther King Jr., Riverside, CA",-117.3344411,33.8838128
"985","Mater Dei","Anaheim","CA","USA","Mater Dei, Anaheim, CA","Mater Dei, Anaheim, CA",-117.8841454,33.7262194
"986","Mater Dei","Newport Beach","CA","USA","Mater Dei, Newport Beach, CA","Mater Dei, Newport Beach, CA",-117.8841454,33.7262194
"987","Mater Dei","Riverside","CA","USA","Mater Dei, Riverside, CA","Mater Dei, Riverside, CA",-117.8841454,33.7262194
"988","Mater Dei","Santa Ana","CA","USA","Mater Dei, Santa Ana, CA","Mater Dei, Santa Ana, CA",-117.8841454,33.7262194
"989","Mater Dei Catholic","Chula Vista","CA","USA","Mater Dei Catholic, Chula Vista, CA","Mater Dei Catholic, Chula Vista, CA",-116.9763305,32.6204588
"990","Mater Dei Catholic","San Diego","CA","USA","Mater Dei Catholic, San Diego, CA","Mater Dei Catholic, San Diego, CA",-116.9763305,32.6204588
"991","Mayfair","Bellflower","CA","USA","Mayfair, Bellflower, CA","Mayfair, Bellflower, CA",-118.1340542,33.8725626
"992","Mayfair","Lakewood","CA","USA","Mayfair, Lakewood, CA","Mayfair, Lakewood, CA",-118.1161944,33.8642222
"993","McClymonds","Fairfield","CA","USA","McClymonds, Fairfield, CA","McClymonds, Fairfield, CA",-122.2783573,37.8192579
"994","McClymonds","Oakland","CA","USA","McClymonds, Oakland, CA","McClymonds, Oakland, CA",-122.2809844,37.8181382
"995","McKinleyville","Mckinleyville","CA","USA","McKinleyville, Mckinleyville, CA","McKinleyville, Mckinleyville, CA",-124.1006205,40.9465152
"996","Menlo-Atherton","Menlo Park","CA","USA","Menlo-Atherton, Menlo Park, CA","Menlo-Atherton, Menlo Park, CA",-122.197743,37.4613272
"997","Menlo-Atherton","Sunnyvale","CA","USA","Menlo-Atherton, Sunnyvale, CA","Menlo-Atherton, Sunnyvale, CA",-122.197743,37.4613272
"998","Merrill F. West","Tracy","CA","USA","Merrill F. West, Tracy, CA","Merrill F. West, Tracy, CA",-121.4473426,37.7480485
"999","Mesa Verde","Citrus Heights","CA","USA","Mesa Verde, Citrus Heights, CA","Mesa Verde, Citrus Heights, CA",-121.2976826,38.7020011
"1000","Millikan Senior","Long Beach","CA","USA","Millikan Senior, Long Beach, CA","Millikan Senior, Long Beach, CA",-118.1109455,33.8079634
"1001","Milpitas","Milpitas","CA","USA","Milpitas, Milpitas, CA","Milpitas, Milpitas, CA",-121.8995741,37.4323341
"1002","Mira Costa","Manhattan Beach","CA","USA","Mira Costa, Manhattan Beach, CA","Mira Costa, Manhattan Beach, CA",-118.3898531,33.8733159
"1003","Mira Mesa","San Diego","CA","USA","Mira Mesa, San Diego, CA","Mira Mesa, San Diego, CA",-117.1382404,32.9184763
"1004","Miramonte","Orinda","CA","USA","Miramonte, Orinda, CA","Miramonte, Orinda, CA",-122.1444647,37.8416323
"1005","Mission Bay","San Diego","CA","USA","Mission Bay, San Diego, CA","Mission Bay, San Diego, CA",-117.226457,32.7778125
"1006","Mission Hills","San Marcos","CA","USA","Mission Hills, San Marcos, CA","Mission Hills, San Marcos, CA",-117.1418819,33.1445798
"1007","Mission Oak","Tulare","CA","USA","Mission Oak, Tulare, CA","Mission Oak, Tulare, CA",-119.296771,36.1972137
"1008","Mission San Jose","Fremont","CA","USA","Mission San Jose, Fremont, CA","Mission San Jose, Fremont, CA",-121.920106,37.5334266
"1009","Mission Viejo","Mission Viejo","CA","USA","Mission Viejo, Mission Viejo, CA","Mission Viejo, Mission Viejo, CA",-117.6581562,33.5968913
"1010","Mission Viejo","Orange","CA","USA","Mission Viejo, Orange, CA","Mission Viejo, Orange, CA",-117.6581562,33.5968913
"1011","Mission Viejo","Rancho Santa Margarita","CA","USA","Mission Viejo, Rancho Santa Margarita, CA","Mission Viejo, Rancho Santa Margarita, CA",-117.602832,33.640171
"1012","Mississauga Secondary","Ontario","CA","USA","Mississauga Secondary, Ontario, CA","Mississauga Secondary, Ontario, CA",-79.7036591,43.6253052
"1013","Modesto","Modesto","CA","USA","Modesto, Modesto, CA","Modesto, Modesto, CA",-120.9970014,37.6392595
"1014","Modesto Christian","Modesto","CA","USA","Modesto Christian, Modesto, CA","Modesto Christian, Modesto, CA",-121.0798183,37.7230607
"1015","Mojave Senior","Mojave","CA","USA","Mojave Senior, Mojave, CA","Mojave Senior, Mojave, CA",-118.1926466,35.0607202
"1016","Monrovia","Monrovia","CA","USA","Monrovia, Monrovia, CA","Monrovia, Monrovia, CA",-118.0019482,34.1442616
"1017","Montclair","Montclair","CA","USA","Montclair, Montclair, CA","Montclair, Montclair, CA",-117.6897776,34.0775104
"1018","Montclair College Prep School","Panorama City","CA","USA","Montclair College Prep School, Panorama City, CA","Montclair College Prep School, Panorama City, CA",-118.4667282,34.217441
"1019","Monte Vista","Cupertino","CA","USA","Monte Vista, Cupertino, CA","Monte Vista, Cupertino, CA",-122.0580165,37.3227199
"1020","Monte Vista","Danville","CA","USA","Monte Vista, Danville, CA","Monte Vista, Danville, CA",-121.9817525,37.8438567
"1021","Monte Vista","Spring Valley","CA","USA","Monte Vista, Spring Valley, CA","Monte Vista, Spring Valley, CA",-116.9735208,32.7365783
"1022","Monterey Trail","Elk Grove","CA","USA","Monterey Trail, Elk Grove, CA","Monterey Trail, Elk Grove, CA",-121.3983059,38.4493951
"1023","Montgomery","Santa Rosa","CA","USA","Montgomery, Santa Rosa, CA","Montgomery, Santa Rosa, CA",-122.6829001,38.4394489
"1024","Moorpark","Moorpark","CA","USA","Moorpark, Moorpark, CA","Moorpark, Moorpark, CA",-118.8820414,34.285558
"1025","Moreau Catholic","Hayward","CA","USA","Moreau Catholic, Hayward, CA","Moreau Catholic, Hayward, CA",-122.0602844,37.6436864
"1026","Moreno Valley","Moreno Valley","CA","USA","Moreno Valley, Moreno Valley, CA","Moreno Valley, Moreno Valley, CA",-117.2296717,33.9424658
"1027","Morningside","Inglewood","CA","USA","Morningside, Inglewood, CA","Morningside, Inglewood, CA",-118.332757,33.9399238
"1028","Morro Bay","Morro Bay","CA","USA","Morro Bay, Morro Bay, CA","Morro Bay, Morro Bay, CA",-120.8499924,35.3659445
"1029","Morse","San Diego","CA","USA","Morse, San Diego, CA","Morse, San Diego, CA",-117.0485333,32.7011669
"1030","Mount Miguel","Spring Valley","CA","USA","Mount Miguel, Spring Valley, CA","Mount Miguel, Spring Valley, CA",-117.0167511,32.7226222
"1031","Mountain View","Mountain View","CA","USA","Mountain View, Mountain View, CA","Mountain View, Mountain View, CA",-122.0838511,37.3860517
"1032","Mt. Carmel","San Diego","CA","USA","Mt. Carmel, San Diego, CA","Mt. Carmel, San Diego, CA",-117.102781,32.9641809
"1033","Mt. Whitney","Visalia","CA","USA","Mt. Whitney, Visalia, CA","Mt. Whitney, Visalia, CA",-119.2988261,36.3225911
"1034","Murrieta Mesa","Murrieta","CA","USA","Murrieta Mesa, Murrieta, CA","Murrieta Mesa, Murrieta, CA",-117.1991869,33.5640396
"1035","Murrieta Valley","Murrieta","CA","USA","Murrieta Valley, Murrieta, CA","Murrieta Valley, Murrieta, CA",-117.2309993,33.5637931
"1036","Napa","Napa","CA","USA","Napa, Napa, CA","Napa, Napa, CA",-122.286865,38.2975381
"1037","Narbonne","Carson","CA","USA","Narbonne, Carson, CA","Narbonne, Carson, CA",-118.3052275,33.8033866
"1038","Narbonne","Harbor City","CA","USA","Narbonne, Harbor City, CA","Narbonne, Harbor City, CA",-118.3052275,33.8033866
"1039","Narbonne","Redondo Beach","CA","USA","Narbonne, Redondo Beach, CA","Narbonne, Redondo Beach, CA",-118.3052275,33.8033866
